#{"t_start": 1703840839.9341729, "env_id": "None"}
r,l,t
0.995,8,2.748041
0.995,8,2.75801
-0.006,6,2.765477
-0.006,6,2.772909
0.995,8,2.782207
-0.006,6,2.78987
-0.006,6,2.797439
-0.006,6,2.804884
0.995,8,2.814329
-0.006,6,2.821787
-0.006,6,2.829083
-0.006,6,2.836279
-0.006,6,2.843655
-0.006,6,2.850844
0.995,8,2.859876
0.995,8,2.868844
-0.006,6,2.875843
-0.006,6,2.883014
-0.006,6,2.889995
-0.006,6,2.89715
-0.006,6,2.904272
-0.006,6,2.911266
0.995,8,2.920147
-0.006,6,2.927178
-0.006,6,2.93446
0.995,8,2.943676
-0.006,6,2.950732
-0.006,6,2.957697
-0.006,6,2.964704
0.995,8,2.973688
-0.006,6,2.980845
-0.006,6,2.987914
-0.006,6,2.99495
-0.006,6,3.002221
0.995,8,3.011529
-0.006,6,3.018743
0.995,8,3.027783
0.995,8,3.037775
-0.006,6,3.045253
-0.006,6,3.053059
-0.006,6,3.061516
-0.006,6,3.069136
-0.006,6,3.077391
-0.006,6,3.084864
-0.006,6,3.092937
0.995,8,3.102209
-0.006,6,3.11044
0.995,8,4.041308
0.995,8,4.051965
-0.006,6,4.060307
0.995,8,4.070146
0.995,8,4.080591
0.995,8,4.090523
0.995,8,4.100177
0.995,8,4.110245
-0.006,6,4.118123
0.995,8,4.128239
-0.006,6,4.137299
0.995,8,4.14951
-0.006,6,4.157527
-0.006,6,4.165088
0.995,8,4.174849
0.995,8,4.184515
0.995,8,4.194656
-0.006,6,4.202291
0.995,8,4.212648
0.995,8,4.222271
-0.006,6,4.229934
-0.006,6,4.237098
-0.006,6,4.246221
-0.006,6,4.253207
-0.006,6,4.260944
-0.006,6,4.268399
-0.006,6,4.276113
-0.006,6,4.283226
0.995,8,4.29207
-0.006,6,4.299069
0.995,8,4.307974
0.995,8,4.317079
-0.006,6,4.324094
-0.006,6,4.33131
-0.006,6,4.338321
-0.006,6,4.345415
0.995,8,4.354808
-0.006,6,4.361975
-0.006,6,4.369133
-0.006,6,4.376384
-0.006,6,4.38372
-0.006,6,4.391021
-0.006,6,4.398304
-0.006,6,4.405443
-0.006,6,4.41273
-0.006,6,4.420041
-0.006,6,4.42729
-0.006,6,4.434634
0.995,8,4.444026
0.995,8,4.453364
0.995,8,4.462426
-0.006,6,4.469597
-0.006,6,4.47682
0.995,8,4.485952
0.995,8,4.495137
-0.006,6,4.502473
0.995,8,4.511578
0.995,8,4.520761
-0.006,6,4.528512
-0.006,6,4.535802
-0.006,6,4.543082
-0.006,6,4.550956
-0.006,6,4.559002
0.995,8,4.568677
0.995,8,4.578567
-0.006,6,4.586021
0.995,8,4.596226
-0.006,6,4.60374
-0.006,6,4.61154
-0.006,6,4.619094
-0.006,6,4.627222
-0.006,6,4.635767
0.995,8,4.648076
-0.006,6,4.67696
-0.006,6,4.685671
-0.006,6,4.694659
-0.006,6,4.702713
0.995,8,4.712626
-0.006,6,4.720113
0.995,8,4.730017
-0.006,6,4.737406
-0.006,6,4.745338
0.995,8,4.755074
-0.006,6,4.762858
0.995,8,4.772279
-0.006,6,4.779621
0.995,8,4.788887
0.995,8,4.79814
0.995,8,4.807432
-0.006,6,4.814777
-0.006,6,4.822123
0.995,8,4.831481
-0.006,6,4.838892
0.995,8,4.848183
0.995,8,4.857513
0.995,8,4.866779
-0.006,6,4.873977
