#{"t_start": 1704987925.294944, "env_id": "None"}
r,l,t
-0.0006,6,0.375304
-0.0006,6,0.380528
-0.0006,6,0.384962
-0.0006,6,0.389528
-0.0006,6,0.394037
0.9995,7,0.398652
-0.0006,6,0.403214
-0.0006,6,0.407452
-0.0006,6,0.41207
0.9995,7,0.416715
-0.0006,6,0.421153
-0.0006,6,0.425768
0.9995,7,0.430548
-0.0006,6,0.434844
-0.0006,6,0.439339
-0.0006,6,0.443488
-0.0006,6,0.448125
-0.0006,6,0.452854
-0.0006,6,0.457532
0.9995,7,0.462074
-0.0006,6,0.466462
-0.0006,6,0.512835
-0.0006,6,0.517105
-0.0006,6,0.521426
-0.0006,6,0.525896
-0.0006,6,0.53023
-0.0006,6,0.5343
-0.0006,6,0.538906
-0.0006,6,0.543148
0.9995,7,0.549257
-0.0006,6,0.55398
0.9995,7,0.558658
-0.0006,6,0.563067
-0.0006,6,0.56724
-0.0006,6,0.572054
-0.0006,6,0.57624
-0.0006,6,0.580704
-0.0006,6,0.585206
-0.0006,6,0.589855
-0.0006,6,0.594256
-0.0006,6,0.598563
-0.0006,6,0.603112
-0.0006,6,0.607387
0.9995,7,0.624019
-0.0006,6,0.62852
-0.0006,6,0.632676
0.9995,7,0.63826
-0.0006,6,0.642439
0.9995,7,0.647045
0.9995,7,0.651718
-0.0006,6,0.656099
-0.0006,6,0.660695
0.9995,7,0.665216
-0.0006,6,0.669745
0.9995,7,0.674447
-0.0006,6,0.678808
-0.0006,6,0.68358
-0.0006,6,0.68819
-0.0006,6,0.69235
-0.0006,6,0.697038
-0.0006,6,0.701293
-0.0006,6,0.705907
-0.0006,6,0.710155
-0.0006,6,0.714439
-0.0006,6,0.719421
0.9995,7,0.736678
-0.0006,6,0.741213
-0.0006,6,0.745717
-0.0006,6,0.750271
-0.0006,6,0.755078
-0.0006,6,0.75957
0.9995,7,0.764159
-0.0006,6,0.76838
-0.0006,6,0.772936
-0.0006,6,0.777239
-0.0006,6,0.781365
-0.0006,6,0.785905
0.9995,7,0.790331
-0.0006,6,0.794819
-0.0006,6,0.799574
-0.0006,6,0.80391
-0.0006,6,0.808102
0.9995,7,0.81276
-0.0006,6,0.81694
0.9995,7,0.821575
-0.0006,6,0.825741
0.9995,7,0.830587
0.9995,7,0.847702
-0.0006,6,0.852206
-0.0006,6,0.856679
0.9995,7,0.861526
-0.0006,6,0.865748
0.9995,7,0.8707
-0.0006,6,0.875011
-0.0006,6,0.87937
0.9995,7,0.88413
-0.0006,6,0.888769
-0.0006,6,0.892921
-0.0006,6,0.897308
-0.0006,6,0.901547
0.9995,7,0.90619
-0.0006,6,0.910489
-0.0006,6,0.914607
-0.0006,6,0.918968
-0.0006,6,0.923437
-0.0006,6,0.927674
-0.0006,6,0.931914
-0.0006,6,0.936067
0.9995,7,0.940657
0.9995,7,0.945238
-0.0006,6,0.960578
-0.0006,6,0.964892
-0.0006,6,0.969437
-0.0006,6,0.973666
-0.0006,6,0.978225
0.9995,7,0.982644
-0.0006,6,0.987563
0.9995,7,0.992083
-0.0006,6,0.996468
-0.0006,6,1.00087
0.9995,7,1.005588
0.9995,7,1.010079
-0.0006,6,1.01452
-0.0006,6,1.018843
-0.0006,6,1.023896
0.9995,7,1.028965
-0.0006,6,1.033145
-0.0006,6,1.03767
0.9995,7,1.042284
-0.0006,6,1.046498
-0.0006,6,1.052084
-0.0006,6,1.056336
-0.0006,6,1.07287
0.9995,7,1.077414
0.9995,7,1.081879
0.9995,7,1.086579
-0.0006,6,1.090794
0.9995,7,1.095454
-0.0006,6,1.099557
-0.0006,6,1.104302
0.9995,7,1.109047
0.9995,7,1.113599
-0.0006,6,1.117711
0.9995,7,1.122351
0.9995,7,1.126984
-0.0006,6,1.1311
-0.0006,6,1.135547
-0.0006,6,1.139858
0.9995,7,1.144563
0.9995,7,1.149022
-0.0006,6,1.153662
0.9995,7,1.158378
-0.0006,6,1.162978
0.9995,7,1.167758
-0.0006,6,1.186107
-0.0006,6,1.19048
-0.0006,6,1.194918
