#{"t_start": 1704987887.829459, "env_id": "None"}
r,l,t
0.9995,7,0.517258
-0.0006,6,0.522731
0.9995,7,0.528024
-0.0006,6,0.532855
-0.0006,6,0.537683
-0.0006,6,0.542218
-0.0006,6,0.546318
-0.0006,6,0.550553
-0.0006,6,0.554741
0.9995,7,0.559261
-0.0006,6,0.563679
0.9995,7,0.568006
-0.0006,6,0.572161
-0.0006,6,0.576233
-0.0006,6,0.580283
-0.0006,6,0.584281
-0.0006,6,0.588654
-0.0006,6,0.592776
-0.0006,6,0.596918
-0.0006,6,0.601041
-0.0006,6,0.606309
-0.0006,6,0.610393
-0.0006,6,0.614446
-0.0006,6,0.619464
-0.0006,6,0.624228
0.9995,7,0.630775
0.9995,7,0.636242
-0.0006,6,0.640508
-0.0006,6,0.645124
-0.0006,6,0.649397
-0.0006,6,0.653653
-0.0006,6,0.6578
-0.0006,6,0.662127
-0.0006,6,0.666307
-0.0006,6,0.670671
-0.0006,6,0.675266
-0.0006,6,0.679587
-0.0006,6,0.683835
-0.0006,6,0.68815
-0.0006,6,0.692583
-0.0006,6,0.696782
0.9995,7,0.701852
-0.0006,6,0.706121
-0.0006,6,0.710284
0.9995,7,0.715132
-0.0006,6,0.719666
-0.0006,6,0.723827
0.9995,7,0.728295
0.9995,7,0.73303
-0.0006,6,0.737482
0.9995,7,0.741968
-0.0006,6,0.746069
0.9995,7,0.750725
-0.0006,6,0.754899
-0.0006,6,0.759095
-0.0006,6,0.763227
-0.0006,6,0.767507
-0.0006,6,0.77163
-0.0006,6,0.775846
-0.0006,6,0.780003
0.9995,7,0.784651
-0.0006,6,0.788856
-0.0006,6,0.793075
-0.0006,6,0.797387
-0.0006,6,0.801782
0.9995,7,0.806486
-0.0006,6,0.8107
-0.0006,6,0.815011
0.9995,7,0.819928
-0.0006,6,0.824261
-0.0006,6,0.828499
-0.0006,6,0.832799
-0.0006,6,0.837338
-0.0006,6,0.841487
-0.0006,6,0.845547
0.9995,7,0.850102
-0.0006,6,0.854355
-0.0006,6,0.858406
-0.0006,6,0.862484
0.9995,7,0.866914
-0.0006,6,0.871017
-0.0006,6,0.875088
-0.0006,6,0.87911
-0.0006,6,0.883254
0.9995,7,0.887691
0.9995,7,0.892103
0.9995,7,0.896578
-0.0006,6,0.900714
-0.0006,6,0.904955
-0.0006,6,0.909192
-0.0006,6,0.9133
-0.0006,6,0.917626
-0.0006,6,0.922298
-0.0006,6,0.926369
0.9995,7,0.930917
-0.0006,6,0.93577
0.9995,7,0.942094
-0.0006,6,0.946844
-0.0006,6,0.951078
-0.0006,6,0.955236
0.9995,7,0.960048
0.9995,7,0.964682
0.9995,7,0.969698
-0.0006,6,0.973897
-0.0006,6,0.978565
0.9995,7,0.983815
-0.0006,6,0.988317
0.9995,7,0.993276
0.9995,7,0.997906
0.9995,7,1.002722
-0.0006,6,1.006968
-0.0006,6,1.011303
-0.0006,6,1.01573
-0.0006,6,1.020513
-0.0006,6,1.024536
-0.0006,6,1.028898
-0.0006,6,1.033438
-0.0006,6,1.037781
-0.0006,6,1.041797
-0.0006,6,1.045967
-0.0006,6,1.050319
-0.0006,6,1.054515
-0.0006,6,1.05863
0.9995,7,1.063262
-0.0006,6,1.067503
-0.0006,6,1.071676
-0.0006,6,1.075763
-0.0006,6,1.079891
-0.0006,6,1.084061
-0.0006,6,1.088203
-0.0006,6,1.092271
0.9995,7,1.096718
0.9995,7,1.101217
-0.0006,6,1.105466
-0.0006,6,1.109685
0.9995,7,1.114354
0.9995,7,1.119463
-0.0006,6,1.123643
-0.0006,6,1.127926
0.9995,7,1.132431
-0.0006,6,1.136965
0.9995,7,1.141423
0.9995,7,1.146423
-0.0006,6,1.150593
-0.0006,6,1.155794
-0.0006,6,1.160322
0.9995,7,1.165057
-0.0006,6,1.169685
-0.0006,6,1.173812
-0.0006,6,1.1782
-0.0006,6,1.182265
0.9995,7,1.187166
-0.0006,6,1.191299
-0.0006,6,1.195636
-0.0006,6,1.19971
-0.0006,6,1.20414
-0.0006,6,1.208355
-0.0006,6,1.212507
0.9995,7,1.217394
-0.0006,6,1.222027
