num_of_edges,num_of_equations,delta_param,number_of_events,execution_time_discrete,memory_usage_discrete,execution_time_solver,memory_usage_solver
4,4,0.5,16,0.0022166452021338046,0.009337615966796876,0.1369984697201289,0.0066931724548339845
5,5,0.25,64,0.003721331409178674,0.01769256591796875,0.13744044800987468,0.0010743141174316406
6,6,0.25,64,0.0038692086818628013,0.015949249267578125,0.1397037668968551,0.0010569572448730468
7,7,0.125,256,0.011517313506919891,0.1023345947265625,0.20288606809917836,0.007885074615478516
8,8,0.125,256,0.013245783920865506,0.10483474731445312,0.26395885230740534,0.008269119262695312
9,9,0.125,256,0.012110309209674597,0.10386190414428711,0.2743828567210585,0.007852745056152344
10,10,0.125,256,0.011640062090009451,0.104119873046875,0.27251715866150333,0.007827472686767579
11,11,0.125,256,0.01342077209847048,0.10786952972412109,0.3556450310978107,0.00862264633178711
12,12,0.125,256,0.015300090005621315,0.11057815551757813,0.4321168459020555,0.009557247161865234
13,13,0.125,256,0.014607943908777088,0.10978221893310547,0.4593181664007716,0.009064006805419921
14,14,0.125,256,0.01477578110061586,0.10992755889892578,0.4620954553945921,0.009070396423339844
15,15,0.0625,1024,0.053443320491351184,0.4251429557800293,0.5313372528762557,0.010521507263183594
16,16,0.0625,1024,0.05604264721041545,0.4259056091308594,0.6053788094897754,0.010999107360839843
17,17,0.0625,1024,0.05575278910109773,0.4249855041503906,0.6263317228294909,0.010634422302246094
18,18,0.0625,1024,0.057208687602542344,0.4250755310058594,0.6275741366902367,0.010695457458496094
19,19,0.0625,1024,0.06099329971475527,0.42725601196289065,0.7697562284185551,0.014750480651855469
20,20,0.03125,4096,0.2468014372745529,1.6471878051757813,0.8474833343992941,0.012300682067871094
21,21,0.03125,4096,0.2471288333996199,1.6452078819274902,0.8532464875024743,0.018091392517089844
22,22,0.03125,4096,0.25322879778686913,1.649704360961914,0.8854976505157538,0.012283897399902344
23,23,0.03125,4096,0.2655273411073722,1.6559356689453124,1.0133997237076984,0.014507102966308593
24,24,0.03125,4096,0.28182660292368383,1.6617088317871094,1.1217062779935076,0.018539237976074218
25,25,0.03125,4096,0.2751341787981801,1.64962158203125,1.107254031195771,0.026811790466308594
26,26,0.03125,4096,0.27951506059616804,1.6511817932128907,1.0793062614277005,0.030368709564208986
27,27,0.03125,4096,0.2924040790880099,1.6567817687988282,1.2156456265947782,0.028951072692871095
28,28,0.03125,4096,0.30631803040159866,1.6541221618652344,1.3296769872191363,0.022911643981933592
29,29,0.03125,4096,0.31068804531823846,1.6583961486816405,1.3482410130207427,0.019492912292480468
30,30,0.03125,4096,0.3151772900135256,1.64879150390625,1.4177853195928036,0.016412925720214844
31,31,0.03125,4096,0.33033108279341833,1.6628982543945312,1.5807408313034101,0.023136711120605467
32,32,0.03125,4096,0.3410030469065532,1.653007698059082,1.7419944674242287,0.03188199996948242
33,33,0.03125,4096,0.3516650519100949,1.6526176452636718,1.7786050204653292,0.03543014526367187
34,34,0.03125,4096,0.35830138679593804,1.6577003479003907,1.7412464876077138,0.01734027862548828
35,35,0.03125,4096,0.36354868022026493,1.6619407653808593,1.9258030473953114,0.02789783477783203
36,36,0.015625,16384,1.4867774972924963,6.560106945037842,2.093006359017454,0.045007514953613284
37,37,0.03125,4096,0.3863988004042767,1.662665557861328,2.062185618991498,0.02021656036376953
38,38,0.03125,4096,0.3826515782158822,1.6545394897460937,2.03545003188774,0.03141574859619141
