#{"t_start": 1705144753.2988002, "env_id": "None"}
r,l,t
-0.002,20,4.090738
-0.002,20,4.104838
0.9985,21,4.118874
0.9985,21,4.132618
-0.002,20,4.146577
0.9985,21,4.160454
-0.002,20,4.173531
-0.002,20,4.186573
-0.002,20,4.19956
-0.002,20,4.212665
0.9985,21,4.225859
0.9985,21,4.239731
-0.002,20,4.252653
0.9984,21,4.266704
-0.002,20,4.280703
-0.002,20,4.295018
-0.002,20,4.308315
0.9983,21,4.322582
-0.002,20,4.336255
0.9983,21,4.349975
0.9985,21,4.363378
0.9984,21,4.376781
-0.002,20,4.389958
0.9985,21,4.40329
-0.002,20,4.416381
0.9985,21,4.429891
0.9985,21,4.443114
0.9981,21,4.456557
0.9981,21,4.469575
-0.002,20,4.482278
0.9982,21,4.495273
0.9985,21,4.508528
0.9985,21,4.521506
-0.002,20,4.539968
0.9984,21,4.55444
-0.002,20,4.568242
0.9985,21,4.582453
-0.002,20,4.596405
-0.002,20,4.610787
-0.002,20,4.624625
-0.002,20,4.638954
-0.002,20,4.652968
0.9983,21,4.667081
0.9983,21,4.680732
-0.002,20,4.693874
-0.002,20,4.707246
-0.002,20,4.720407
-0.002,20,4.743578
0.9984,21,4.757889
-0.002,20,4.772129
0.9985,21,4.786284
-0.002,20,4.799952
-0.002,20,4.813834
0.9983,21,4.828284
0.9981,21,4.842338
0.9985,21,4.856112
0.9983,21,4.869879
0.9985,21,4.884004
-0.002,20,4.898021
0.9983,21,4.911913
-0.002,20,4.925484
0.9985,21,4.93986
0.9985,21,4.955079
-0.002,20,4.969427
-0.002,20,4.983249
-0.002,20,4.997004
0.9982,21,5.010918
-0.002,20,5.02451
0.9981,21,5.040624
0.9985,21,5.054991
0.9984,21,5.0697
-0.002,20,5.084142
0.9984,21,5.098498
0.9982,21,5.113649
-0.002,20,5.128296
0.9983,21,5.142968
0.9981,21,5.156923
-0.002,20,5.170942
-0.002,20,5.184713
-0.002,20,5.198246
-0.002,20,5.211808
-0.002,20,5.226476
0.9985,21,5.24224
0.9985,21,5.256096
-0.002,20,5.270324
-0.002,20,5.285781
0.9985,21,5.300789
-0.002,20,5.315298
-0.002,20,5.33004
0.9985,21,5.344503
0.9982,21,5.358694
0.9985,21,5.373123
0.9985,21,5.387573
0.9985,21,5.402177
-0.002,20,5.415931
0.9982,21,5.429905
0.9985,21,5.444281
-0.002,20,5.458169
-0.002,20,5.4722
0.9985,21,5.485956
0.9981,21,5.499609
-0.002,20,5.513144
0.9983,21,5.527852
-0.002,20,5.544994
0.9984,21,5.559328
-0.002,20,5.573724
0.9985,21,5.58843
0.9985,21,5.602595
-0.002,20,5.616891
-0.002,20,5.630959
0.9985,21,5.645235
0.9983,21,5.659021
-0.002,20,5.672468
0.9981,21,5.686379
-0.002,20,5.699813
-0.002,20,5.713232
-0.002,20,5.726661
-0.002,20,5.740332
0.9981,21,5.753798
0.9983,21,5.778108
-0.002,20,5.792313
0.9983,21,5.806562
-0.002,20,5.820749
-0.002,20,5.83409
-0.002,20,5.847568
0.9985,21,5.861162
0.9983,21,5.874672
0.9985,21,5.888093
-0.002,20,5.901477
0.9983,21,5.915006
-0.002,20,5.928122
-0.002,20,5.94119
-0.002,20,5.953766
0.9984,21,5.96664
-0.002,20,5.979654
0.9985,21,5.992711
-0.002,20,6.005429
0.9981,21,6.01866
0.9983,21,6.037326
-0.002,20,6.051881
0.9984,21,6.06605
0.9984,21,6.080376
-0.002,20,6.094597
-0.002,20,6.108623
-0.002,20,6.122749
-0.002,20,6.136326
-0.002,20,6.150058
-0.002,20,6.163704
-0.002,20,6.177045
-0.002,20,6.190392
-0.002,20,6.203777
0.9981,21,6.217912
-0.002,20,6.231005
0.9983,21,6.245266
-0.002,20,6.257985
0.9984,21,6.271915
-0.002,20,6.285603
-0.002,20,6.299411
0.9983,21,6.313425
-0.002,20,6.326976
0.9981,21,6.342406
-0.002,20,6.355977
0.9985,21,6.369415
0.9985,21,6.382906
0.9984,21,6.396333
-0.002,20,6.409743
0.9985,21,6.423255
0.9983,21,6.437234
-0.002,20,6.450278
-0.002,20,6.463307
-0.002,20,6.476285
-0.002,20,6.489223
0.9981,21,6.502569
0.9985,21,6.515886
0.9985,21,6.531074
0.9984,21,6.548898
-0.002,20,6.562987
-0.002,20,6.577037
0.9984,21,6.591422
-0.002,20,6.605918
-0.002,20,6.61955
-0.002,20,6.63344
-0.002,20,6.647633
-0.002,20,6.661627
0.9985,21,6.675368
0.9984,21,6.689053
-0.002,20,6.702275
-0.002,20,6.715449
-0.002,20,6.728614
0.9985,21,6.742069
0.9985,21,6.756092
0.9984,21,6.770441
-0.002,20,6.784626
-0.002,20,6.819212
0.9983,21,6.833342
0.9985,21,6.847259
-0.002,20,6.860986
-0.002,20,6.874962
-0.002,20,6.888712
0.9983,21,6.902939
-0.002,20,6.916277
0.9981,21,6.929925
0.9985,21,6.943354
0.9983,21,6.956677
0.9985,21,6.970321
0.9982,21,6.984638
-0.002,20,6.998246
0.9983,21,7.011923
-0.002,20,7.025192
0.9985,21,7.043406
0.9983,21,7.057606
0.9985,21,7.072486
-0.002,20,7.086333
0.9985,21,7.100843
-0.002,20,7.114925
-0.002,20,7.128999
-0.002,20,7.142824
-0.002,20,7.156615
0.9983,21,7.170418
-0.002,20,7.183805
0.9985,21,7.1978
0.9983,21,7.212281
0.9981,21,7.226308
0.9984,21,7.239582
-0.002,20,7.254397
0.9984,21,7.27064
0.9982,21,7.285714
0.9983,21,7.300239
-0.002,20,7.314545
0.9985,21,7.329057
-0.002,20,7.343394
-0.002,20,7.357092
0.9981,21,7.371427
-0.002,20,7.392395
-0.002,20,7.415451
0.9983,21,7.431425
0.9984,21,7.452075
0.9985,21,7.468454
0.9984,21,7.484938
-0.002,20,7.502498
0.9981,21,7.518334
0.9982,21,7.536577
0.9985,21,7.552433
0.9984,21,7.567176
-0.002,20,7.581333
-0.002,20,7.595646
-0.002,20,7.609796
0.9981,21,7.624136
0.9984,21,7.639056
-0.002,20,7.653608
-0.002,20,7.667684
-0.002,20,7.681866
-0.002,20,7.695959
-0.002,20,7.710092
0.9981,21,7.725052
-0.002,20,7.739637
0.9984,21,7.754842
-0.002,20,7.768629
0.9985,21,7.782731
-0.002,20,7.796566
-0.002,20,7.81064
0.9982,21,7.824875
-0.002,20,7.838676
0.9985,21,7.85967
-0.002,20,7.873366
-0.002,20,7.887138
0.9984,21,7.901452
-0.002,20,7.915336
0.9985,21,7.92903
-0.002,20,7.94275
-0.002,20,7.956842
0.9983,21,7.970768
0.9983,21,7.984977
0.9984,21,7.999026
0.9984,21,8.013332
0.9984,21,8.027787
-0.002,20,8.042117
-0.002,20,8.055956
0.9982,21,8.07013
-0.002,20,8.084054
0.9983,21,8.098126
0.9981,21,8.112538
0.9981,21,8.127023
-0.002,20,8.140942
0.9985,21,8.154804
0.9985,21,8.168664
-0.002,20,8.183984
0.9982,21,8.198897
-0.002,20,8.213221
0.9981,21,8.227732
-0.002,20,8.242018
0.9984,21,8.256529
-0.002,20,8.270444
-0.002,20,8.284543
0.9983,21,8.298618
-0.002,20,8.312288
0.9981,21,8.326408
-0.002,20,8.340015
-0.002,20,8.353075
-0.002,20,8.366516
-0.002,20,8.379807
-0.002,20,8.39326
-0.002,20,8.406712
-0.002,20,8.420096
-0.002,20,8.433565
-0.002,20,8.447048
-0.002,20,8.46017
-0.002,20,8.473361
0.9981,21,8.486752
0.9985,21,8.500035
0.9981,21,8.513575
0.9984,21,8.526988
0.9985,21,8.54041
-0.002,20,8.553161
0.9984,21,8.566736
-0.002,20,8.579499
-0.002,20,8.592184
0.9983,21,8.605237
0.9983,21,8.618019
0.9983,21,8.630978
-0.002,20,8.643687
-0.002,20,8.656549
-0.002,20,8.66905
-0.002,20,8.681764
-0.002,20,8.694573
-0.002,20,8.707194
0.9984,21,8.720228
-0.002,20,8.733253
0.9984,21,8.747048
-0.002,20,8.761658
-0.002,20,8.775284
-0.002,20,8.79106
-0.002,20,8.804508
-0.002,20,8.818554
-0.002,20,8.832198
-0.002,20,8.846147
0.9982,21,8.859927
-0.002,20,8.89316
-0.002,20,8.90804
-0.002,20,8.922511
0.9985,21,8.937095
0.9981,21,8.95153
-0.002,20,8.96552
-0.002,20,8.979767
0.9981,21,8.993493
-0.002,20,9.00744
0.9983,21,9.022182
-0.002,20,9.036724
-0.002,20,9.050946
0.9985,21,9.065285
0.9985,21,9.078878
-0.002,20,9.092989
0.9984,21,9.107248
-0.002,20,9.120747
-0.002,20,9.134437
-0.002,20,9.148575
0.9982,21,9.163196
-0.002,20,9.177914
0.9983,21,9.193232
0.9984,21,9.207989
-0.002,20,9.222006
0.9985,21,9.237269
-0.002,20,9.251344
-0.002,20,9.265102
0.9982,21,9.279048
0.9982,21,9.29346
0.9982,21,9.307508
0.9985,21,9.321311
0.9983,21,9.335398
-0.002,20,9.348927
-0.002,20,9.362632
-0.002,20,9.375704
-0.002,20,9.390918
0.9983,21,9.406121
-0.002,20,9.419854
0.9985,21,9.433971
-0.002,20,9.448657
-0.002,20,9.463948
-0.002,20,9.479394
0.9985,21,9.493451
0.9982,21,9.507694
0.9985,21,9.521788
-0.002,20,9.535389
0.9981,21,9.549619
0.9982,21,9.564232
0.9984,21,9.578523
0.9983,21,9.592435
0.9983,21,9.606162
-0.002,20,9.619597
0.9984,21,9.63343
0.9983,21,9.647157
0.9985,21,9.660955
-0.002,20,9.674684
-0.002,20,9.688858
-0.002,20,9.702382
-0.002,20,9.715668
0.9985,21,9.729446
0.9984,21,9.743671
0.9983,21,9.757609
-0.002,20,9.77133
0.9985,21,9.785105
-0.002,20,9.798552
0.9981,21,9.812255
0.9984,21,9.825958
0.9985,21,9.839726
0.9985,21,9.852947
0.9983,21,9.866187
-0.002,20,9.879007
0.9981,21,9.892866
0.9983,21,9.922883
0.9985,21,9.938602
0.9985,21,9.951984
-0.002,20,9.967663
-0.002,20,9.983344
-0.002,20,9.997061
-0.002,20,10.010946
-0.002,20,10.024929
-0.002,20,10.038571
-0.002,20,10.05182
-0.002,20,10.065049
0.9984,21,10.079112
-0.002,20,10.092612
0.9983,21,10.106845
0.9984,21,10.121168
0.9982,21,10.135011
-0.002,20,10.148566
0.9985,21,10.162731
0.9983,21,10.176979
-0.002,20,10.191099
0.9985,21,10.204731
0.9984,21,10.218304
-0.002,20,10.231496
0.9981,21,10.245094
0.9983,21,10.258811
-0.002,20,10.272587
0.9981,21,10.287247
-0.002,20,10.300611
0.9983,21,10.314332
-0.002,20,10.327583
0.9981,21,10.539874
-0.002,20,10.553873
-0.002,20,10.567962
-0.002,20,10.581966
0.9985,21,10.595961
0.9981,21,10.609999
-0.002,20,10.623836
-0.002,20,10.637544
-0.002,20,10.651714
-0.002,20,10.665667
0.9982,21,10.67996
-0.002,20,10.693682
-0.002,20,10.707175
-0.002,20,10.720686
0.9984,21,10.735274
-0.002,20,10.750077
0.9984,21,10.764796
-0.002,20,10.778906
-0.002,20,10.79262
-0.002,20,10.806345
0.9984,21,10.8205
0.9985,21,10.83367
-0.002,20,10.847222
0.9984,21,10.861567
0.9983,21,10.8753
-0.002,20,10.888879
-0.002,20,10.902991
-0.002,20,10.917225
0.9985,21,10.931674
-0.002,20,10.958393
0.9981,21,10.972411
-0.002,20,10.985725
-0.002,20,10.999546
-0.002,20,11.013302
0.9985,21,11.027658
0.9982,21,11.041157
0.9985,21,11.055058
-0.002,20,11.06876
-0.002,20,11.082878
0.9985,21,11.096609
-0.002,20,11.110595
0.9985,21,11.124028
-0.002,20,11.137244
-0.002,20,11.150657
0.9985,21,11.164082
-0.002,20,11.177246
-0.002,20,11.191832
-0.002,20,11.205844
0.9981,21,11.220179
0.9983,21,11.23396
0.9984,21,11.247809
-0.002,20,11.261243
-0.002,20,11.275174
-0.002,20,11.289534
0.9984,21,11.303915
-0.002,20,11.317192
-0.002,20,11.331348
0.9984,21,11.345149
-0.002,20,11.358716
0.9984,21,11.372377
0.9981,21,11.386629
-0.002,20,11.400074
-0.002,20,11.413983
-0.002,20,11.428016
-0.002,20,11.441383
0.9985,21,11.45537
0.9985,21,11.469449
-0.002,20,11.483222
-0.002,20,11.496587
-0.002,20,11.509759
-0.002,20,11.523102
0.9983,21,11.537229
0.9985,21,11.551098
0.9985,21,11.565216
0.9984,21,11.579232
0.9981,21,11.592963
0.9981,21,11.606588
-0.002,20,11.619853
0.9981,21,11.633477
0.9981,21,11.64747
0.9982,21,11.662054
-0.002,20,11.675851
