#{"t_start": 1705136650.7421062, "env_id": "None"}
r,l,t
-0.002,20,0.5132
0.9984,21,0.529187
-0.002,20,0.543906
0.9985,21,0.558854
0.9985,21,0.574076
-0.002,20,0.591078
0.9985,21,0.607826
0.9985,21,0.62245
-0.002,20,0.637918
0.9982,21,0.653024
0.9984,21,0.67685
0.9984,21,0.692331
-0.002,20,0.706865
0.9984,21,0.721477
0.9983,21,0.736906
0.9985,21,0.751475
0.9985,21,0.765834
-0.002,20,0.780605
0.9983,21,0.794624
0.9983,21,0.809203
0.9985,21,0.823777
0.9985,21,0.838589
0.9984,21,0.852844
0.9984,21,0.86709
-0.002,20,0.883182
-0.002,20,0.8969
-0.002,20,0.911146
0.9984,21,0.925654
0.9983,21,0.940226
-0.002,20,0.954563
-0.002,20,0.968733
-0.002,20,0.983728
-0.002,20,0.997384
0.9982,21,1.011948
0.9985,21,1.02621
-0.002,20,1.040318
-0.002,20,1.054603
0.9981,21,1.069503
0.9984,21,1.083892
-0.002,20,1.097844
-0.002,20,1.111953
-0.002,20,1.126509
0.9982,21,1.141443
0.9982,21,1.155892
-0.002,20,1.17041
0.9981,21,1.184745
-0.002,20,1.199346
0.9983,21,1.213871
-0.002,20,1.228026
0.9985,21,1.242346
-0.002,20,1.25644
0.9985,21,1.270877
-0.002,20,1.285471
0.9985,21,1.299835
-0.002,20,1.313783
0.9985,21,1.328306
-0.002,20,1.342866
0.9982,21,1.357269
-0.002,20,1.371671
0.9982,21,1.387244
-0.002,20,1.401494
-0.002,20,1.414953
0.9985,21,1.429257
0.9985,21,1.443804
-0.002,20,1.458171
-0.002,20,1.472078
0.9985,21,1.486273
-0.002,20,1.500035
0.9983,21,1.514338
-0.002,20,1.528794
0.9985,21,1.543305
0.9985,21,1.557383
0.9985,21,1.571911
0.9983,21,1.586031
-0.002,20,1.599534
0.9985,21,1.613549
-0.002,20,1.627681
-0.002,20,1.641775
0.9985,21,1.656286
-0.002,20,1.671638
-0.002,20,1.68629
-0.002,20,1.708767
-0.002,20,1.722327
0.9982,21,1.736914
0.9982,21,1.751351
0.9985,21,1.765144
0.9985,21,1.77949
-0.002,20,1.794434
-0.002,20,1.808756
-0.002,20,1.822949
0.9985,21,1.838435
0.9985,21,1.852855
-0.002,20,1.868477
-0.002,20,1.886717
-0.002,20,1.90147
0.9985,21,1.916153
0.9985,21,1.931808
-0.002,20,1.94688
-0.002,20,1.963925
0.9985,21,1.980734
0.9985,21,1.996182
-0.002,20,2.01038
0.9984,21,2.024759
0.9982,21,2.038968
-0.002,20,2.053077
-0.002,20,2.067476
0.9981,21,2.081615
0.9983,21,2.096323
0.9985,21,2.110738
0.9985,21,2.12495
-0.002,20,2.138839
-0.002,20,2.153055
-0.002,20,2.16751
0.9985,21,2.181319
-0.002,20,2.19518
-0.002,20,2.209239
0.9983,21,2.223943
-0.002,20,2.23785
0.9983,21,2.252333
-0.002,20,2.266441
0.9982,21,2.280919
-0.002,20,2.295041
-0.002,20,2.309223
-0.002,20,2.323473
0.9985,21,2.337857
0.9984,21,2.352313
-0.002,20,2.366101
-0.002,20,2.381391
0.9983,21,2.395453
0.9985,21,2.409973
0.9981,21,2.424808
-0.002,20,2.43895
-0.002,20,2.453208
0.9983,21,2.467887
0.9983,21,2.482181
0.9985,21,2.496268
0.9984,21,2.51053
-0.002,20,2.524909
0.9985,21,2.539156
-0.002,20,2.553271
0.9983,21,2.567502
-0.002,20,2.581723
-0.002,20,2.596068
0.9981,21,2.610418
-0.002,20,2.624708
0.9985,21,2.640007
0.9985,21,2.654491
-0.002,20,2.668521
0.9984,21,2.683027
0.9983,21,2.697119
0.9984,21,2.711271
0.9983,21,2.735973
-0.002,20,2.750409
0.9984,21,2.764326
0.9985,21,2.778657
-0.002,20,2.79276
0.9985,21,2.806982
-0.002,20,2.821147
0.9981,21,2.835109
0.9985,21,2.850065
0.9983,21,2.864188
0.9982,21,2.880875
-0.002,20,2.894939
0.9983,21,2.910096
0.9985,21,2.924809
-0.002,20,2.938739
-0.002,20,2.953498
0.9985,21,2.967646
-0.002,20,2.982321
-0.002,20,2.996377
0.9985,21,3.010703
0.9983,21,3.025081
-0.002,20,3.039343
-0.002,20,3.053498
0.9984,21,3.06743
0.9984,21,3.08168
-0.002,20,3.095822
-0.002,20,3.109959
-0.002,20,3.124505
0.9985,21,3.139585
-0.002,20,3.153797
0.9984,21,3.167697
-0.002,20,3.181582
-0.002,20,3.196257
-0.002,20,3.210061
0.9982,21,3.224301
0.9985,21,3.238777
-0.002,20,3.252908
0.9985,21,3.267316
-0.002,20,3.281068
0.9984,21,3.295675
0.9983,21,3.309851
-0.002,20,3.324264
0.9983,21,3.338944
-0.002,20,3.352946
0.9984,21,3.367795
-0.002,20,3.383795
0.9983,21,3.398048
0.9985,21,3.412247
0.9983,21,3.426728
0.9985,21,3.441224
0.9985,21,3.455691
-0.002,20,3.470079
0.9985,21,3.484401
-0.002,20,3.498373
0.9984,21,3.512522
0.9983,21,3.527025
0.9985,21,3.541452
-0.002,20,3.556027
-0.002,20,3.570276
0.9985,21,3.584501
-0.002,20,3.598783
-0.002,20,3.612952
-0.002,20,3.62744
-0.002,20,3.641685
-0.002,20,3.65608
-0.002,20,3.67042
-0.002,20,3.684324
-0.002,20,3.698349
0.9985,21,3.71251
-0.002,20,3.726985
-0.002,20,3.76184
0.9985,21,3.776429
0.9984,21,3.790712
-0.002,20,3.805175
0.9985,21,3.819385
-0.002,20,3.832997
-0.002,20,3.846961
0.9983,21,3.861068
0.9984,21,3.876875
-0.002,20,3.890871
-0.002,20,3.904826
-0.002,20,3.919135
0.9985,21,3.933054
0.9985,21,3.947092
-0.002,20,3.961218
-0.002,20,3.975355
0.9985,21,3.989685
-0.002,20,4.003616
0.9984,21,4.018073
-0.002,20,4.031934
-0.002,20,4.045903
-0.002,20,4.060042
0.9985,21,4.07441
0.9983,21,4.088945
0.9982,21,4.103291
0.9985,21,4.117098
0.9984,21,4.13142
0.9984,21,4.145518
0.9985,21,4.159963
0.9983,21,4.17439
0.9983,21,4.188873
0.9983,21,4.202894
0.9985,21,4.216812
0.9985,21,4.230461
0.9985,21,4.244567
0.9983,21,4.259509
0.9983,21,4.273677
-0.002,20,4.287776
-0.002,20,4.301812
0.9985,21,4.315892
-0.002,20,4.330267
-0.002,20,4.344062
-0.002,20,4.357914
0.9985,21,4.37171
-0.002,20,4.388967
-0.002,20,4.403157
-0.002,20,4.416905
0.9983,21,4.43121
0.9984,21,4.445859
0.9984,21,4.460232
0.9984,21,4.474446
-0.002,20,4.489126
-0.002,20,4.504645
-0.002,20,4.520213
0.9985,21,4.534229
-0.002,20,4.54861
-0.002,20,4.562563
-0.002,20,4.576966
-0.002,20,4.592959
0.9985,21,4.60712
0.9984,21,4.621381
-0.002,20,4.635859
-0.002,20,4.649582
0.9981,21,4.664056
0.9985,21,4.678584
0.9984,21,4.694855
0.9985,21,4.713486
0.9981,21,4.729228
0.9981,21,4.743738
-0.002,20,4.758311
