#{"t_start": 1705133291.2713768, "env_id": "None"}
r,l,t
0.963,401,0.645108
-0.04,400,0.926707
0.9654,401,1.196824
-0.04,400,1.999522
-0.04,400,2.6641
-0.04,400,3.283114
-0.04,400,3.637008
-0.04,400,4.248424
-0.04,400,4.875681
-0.04,400,5.488075
-0.04,400,6.640512
-0.04,400,7.273862
-0.04,400,8.461784
-0.04,400,9.091236
-0.04,400,10.022843
-0.04,400,10.915813
-0.04,400,12.450432
-0.04,400,13.072936
-0.04,400,13.969704
-0.04,400,14.863116
-0.04,400,15.571952
-0.04,400,16.203297
-0.04,400,17.097088
-0.04,400,18.002094
-0.04,400,18.359809
-0.04,400,19.839017
-0.04,400,20.199076
-0.04,400,21.442479
-0.04,400,21.814735
-0.04,400,22.516648
-0.04,400,23.162352
-0.04,400,24.386503
-0.04,400,25.044454
-0.04,400,25.421043
-0.04,400,26.365651
-0.04,400,26.742922
-0.04,400,29.258716
-0.04,400,29.635179
-0.04,400,30.302839
-0.04,400,30.684432
-0.04,400,31.947631
-0.04,400,32.323432
-0.04,400,32.703861
0.97,401,33.062557
0.9676,401,33.362132
0.9627,401,33.655503
0.9698,401,33.932645
-0.04,400,34.638977
-0.04,400,35.342832
-0.04,400,35.993323
-0.04,400,36.365617
-0.04,400,37.019291
-0.04,400,37.682581
-0.04,400,38.342972
-0.04,400,39.569851
-0.04,400,40.234476
-0.04,400,41.493682
-0.04,400,42.192608
-0.04,400,43.210969
-0.04,400,44.19123
-0.04,400,45.792466
-0.04,400,46.501592
-0.04,400,47.515436
-0.04,400,48.505088
-0.04,400,49.309899
-0.04,400,50.025065
